id,listing_type,property_type,last_price,num_bedrooms,num_bathrooms,has_pool,has_terrace,surface_total
e2822ddf152f4842c29395ab9c8e379e,for-sale,apartment,4700000.0,2.0,1.0,,,101.0
0ba1c9fd7d004b87e118a94c0b1571dd,for-sale,apartment,7200000.0,2.0,2.0,,1.0,70.0
0b2fc13289ffcfad80c52b6e1c88e2c6,for-sale,apartment,7500000.0,2.0,2.0,,1.0,81.0
0d2b88624583c00a369b43028a9b63e6,for-sale,apartment,6600000.0,3.0,2.0,,,136.0
0d52ff8d810d19c4665e9c5a0e287816,for-sale,apartment,5600000.0,2.0,2.0,,1.0,87.0
0d5dcd83f4d752ead779b05f21b65f6b,for-rent,apartment,49000.0,3.0,3.0,,,134.0
2b31edba4e03f2811f09124b204a17f8,for-sale,apartment,7950000.0,2.0,2.0,,,135.0
2bcd07ac1d6ace341d37560b37a223c2,for-sale,apartment,12200000.0,3.0,3.0,,1.0,145.0
2bda110395f279b167294d52edbb6eaa,for-sale,apartment,3344219.0,1.0,1.0,,1.0,44.0
1b7d3d5d77519d2f453b3d0b39287339,for-sale,apartment,7200000.0,2.0,2.0,,,167.0
1385030c86fa7ffe61d286835909b776,for-sale,house,38500000.0,7.0,8.0,,,514.0
217ed6678794aeddb1983e8e829926a7,for-sale,house,17500000.0,8.0,,,1.0,400.0
995caf182e793c4601583752f52f944d,for-sale,apartment,6229380.0,2.0,2.0,,1.0,98.0
9a364ddae72429dbba515ce880abb241,for-sale,apartment,3128000.0,1.0,1.0,,,40.0
9988a5903cc185d7ac22f677f6125e0a,for-sale,apartment,9950000.0,3.0,3.0,,1.0,240.0
9b66c406997e41d4e68e9424bfa886c9,for-rent,apartment,25000.0,2.0,1.0,,,90.0
3ac69fc3916bdaffb78c0747fa717047,for-sale,apartment,10850000.0,3.0,3.0,,,153.0
780cce8d30958301d059b3a0a7478431,for-rent,apartment,27719.0,1.0,1.0,,1.0,42.0
a45560bd5c8d2bb89ca2a6ec0c472bbb,for-sale,apartment,3530881.0,1.0,1.0,,,49.0
dfc563c1ea50addf9c8ebe2523962212,for-sale,apartment,6700000.0,2.0,2.0,,,93.0
be95f39b314378b85d1691de8eac76c8,for-sale,apartment,2870659.0,0.0,1.0,,1.0,40.0
df14e6d0d4d89e93703e41d5aebdc09e,for-sale,apartment,3140000.0,,,1.0,1.0,36.0
df322a6bcbc61b01a36080e0de5ce417,for-sale,apartment,8800000.0,2.0,2.0,,,91.0
df3a73e47d0d4dae948e5f40e24addbb,for-sale,apartment,3980000.0,1.0,1.0,,1.0,67.0
e03038100f9a308924d2666d48351ac5,for-sale,apartment,13500000.0,3.0,3.0,,,245.0
b7daa8b96287bdae3c5daea0ce8618cb,for-sale,apartment,8500000.0,2.0,2.0,,,104.0
2c29e981f80d32430e4a68e26e3bc116,for-sale,apartment,12400000.0,3.0,3.0,,1.0,240.0
fe37609921005893bf1d87c137e1777d,for-sale,apartment,4200000.0,2.0,2.0,,,62.0
1cde5df3654ece92f0cda16b39bf3f8f,for-sale,apartment,8700003.0,2.0,2.0,,1.0,100.0
300f7e264e15fc800509575a046052a1,for-rent,apartment,75000.0,2.0,2.0,,1.0,140.0
ef50c417898c2c2e38a5592f5b4ba360,for-rent,apartment,49000.0,3.0,3.0,,1.0,135.0
77125151cf3a77ea4d9a996303ed921d,for-sale,apartment,4935306.0,1.0,1.0,,1.0,53.0
8dec88dd0457a3d5682b62dedd45e5bb,for-sale,apartment,6490000.0,2.0,2.0,,1.0,127.0
1e66129c401753b94fa8821cc247a981,for-sale,apartment,4500000.0,1.0,1.0,,1.0,46.0
2fb8d96589e07f792ba927237206b71e,for-sale,apartment,3269750.0,1.0,1.0,,,41.0
619db99004e78e1ede74dfc1be9da15b,for-sale,apartment,3675087.0,1.0,1.0,,,46.0
