property_id,event,time2event,property_type,surface_total,num_bathrooms,num_bedrooms,marketplace_hash,seller_hash,num_parking_lots,first_price,last_price,longitude,latitude,views,num_marketplaces_property_at,first_observed_date,last_observed_date,has_balcony,has_elevator,has_garden,has_gym,has_luxury_features,has_pool,has_studio,has_surveillance,has_terrace,has_visitors_parking,has_washing_area
069c4d09-1f4e-4451-bf9f-23130537bb37,1,96,apartment,120,2.5,2,-2.90037E+18,-7.94698E+18,1,4100000,4100000,-99.197758,19.3776093,51,1,2023-06-04 04:01:08,2023-09-09 04:01:07,0,1,0,0,0,0,0,0,0,0,0
0a4c5851-88ae-4d33-8fb7-f7d50ca85389,0,37,apartment,82,2,2,8.26101E+18,1.28447E+18,2,4900000,4900000,-99.1831003,19.4022718,61,1,2023-09-09 01:06:12,2023-10-09 16:29:27,1,1,0,0,0,0,0,1,1,0,0
9d31a760-0ffd-44df-b77e-28fe6e1b019d,1,88,apartment,84,2,2,1.65707E+18,-3.83497E+18,1,2782696,2782696,-99.1144885,19.3997423,50,3,2023-07-05 18:47:41,2023-10-02 16:19:31,0,0,0,0,0,0,0,0,0,0,0
fb141128-2a00-4117-929d-ca7ef507d2ab,1,58,apartment,92,2,2,-2.90037E+18,-7.94698E+18,0,5280000,5280000,-99.1767325,19.3953372,68,2,2023-04-13 23:52:15,2023-06-11 04:01:48,1,1,0,0,0,0,0,1,0,0,0
b334cf18-5c23-4914-947a-d545c439845f,0,95,apartment,55,1,1,8.26101E+18,3.77027E+17,1,3250000,3250000,-99.1456289,19.4336461,58,6,2023-07-12 22:27:30,2023-10-09 16:17:00,0,1,1,1,0,1,0,1,1,0,0
49eb6f44-d908-4fd6-aead-3bd4f5cb4681,1,81,apartment,87,2,2,8.26101E+18,7.66011E+18,1,3719000,3719000,-99.2064012,19.3596506,0,2,2023-05-31 19:01:52,2023-08-21 18:19:11,1,1,1,0,0,0,0,1,0,0,0
8302a5d8-6ef1-41ab-9087-3f9c976d767b,1,42,apartment,81,1,2,1.65707E+18,-8.81765E+17,0,2345070,2345070,-99.2240152,19.3767254,51,12,2023-06-13 04:05:51,2023-07-25 04:06:08,0,0,0,0,0,0,0,0,0,0,0
77d735c6-ff48-4352-9148-06fda3b93dcb,0,22,apartment,55,1,2,1.65707E+18,3.77027E+17,1,1450000,1450000,-99.174734,19.2894561,64,1,2023-09-24 02:52:17,2023-10-09 16:22:25,0,0,0,0,0,0,0,1,0,0,0
d88d4d48-a8bf-4d08-a4bf-202a61ce014e,1,85,apartment,77,2,2,8.26101E+18,-1.51216E+18,2,11000000,5500000,-99.2007312,19.4431346,54,1,2023-06-11 01:09:08,2023-09-04 18:32:44,0,1,1,1,0,1,0,1,1,0,0
7a318ebf-a6b2-4553-b5f1-3b4c52c368dd,0,137,apartment,88,2,2,-1.05558E+18,3.77027E+17,1,5700000,5700000,-99.1853523,19.3852276,72,5,2023-05-31 20:54:11,2023-10-16 16:07:34,1,1,0,1,0,0,0,1,1,0,1
b27470f8-3d27-4a32-bd39-4c92dbf8e646,0,41,house,210,3,3,,-7.29747E+18,2,5595000,5595000,-99.2025736,19.2835716,55,1,2023-09-04 20:43:01,2023-10-09 18:42:03,0,0,0,0,0,0,0,1,1,0,0
ff860c3a-5a05-4f96-b487-fcc3fe0b176a,1,13,apartment,120,1,2,6.47434E+18,3.77027E+17,1,4900000,4900000,-99.17834,19.435366,55,2,2023-06-19 19:55:00,2023-07-03 19:21:20,0,0,0,0,0,0,0,0,0,0,0
25c8b94b-3838-460f-bafc-da787652aa27,0,116,apartment,89.88,2,2,-2.90037E+18,-7.94698E+18,2,4657540,4657540,-99.1469017,19.3600289,94,2,2023-06-22 04:01:39,2023-10-16 16:01:56,1,1,0,0,0,0,0,0,0,0,0
964c3133-8343-4bc2-a34f-22a3e6bdf396,1,171,apartment,207,3.5,3,-1.05558E+18,8.6208E+18,2,12800000,14800000,-99.21426773,19.43138636,44,1,2023-04-14 12:18:08,2023-10-02 18:12:50,1,1,1,0,0,0,1,1,1,0,1
cd1bdb39-aac8-46c6-b187-0e0bff92b85e,1,26,apartment,67,2,2,8.26101E+18,7.66011E+18,1,4607003,4650003,-99.1749554,19.3625793,79,1,2023-07-12 01:11:57,2023-08-07 19:49:29,0,0,0,0,0,0,0,1,0,0,1
c139fa22-6ccd-411d-8f18-40e86f09886e,0,31,apartment,84,2,2,-1.05558E+18,9.03635E+18,1,4473500,4473500,-99.2882606,19.3563182,57,1,2023-09-15 15:34:14,2023-10-16 16:12:36,1,0,0,0,0,0,0,0,1,0,0
cb4e0f3d-85df-4c48-a8be-8fddd13ce5f5,1,97,house,407,3,4,1.65707E+18,3.77027E+17,4,9000000,9000000,-99.1296977,19.3867635,92,6,2023-05-16 05:40:40,2023-08-22 05:25:59,0,0,1,0,0,0,1,1,0,0,1
84c72c5f-4c76-4072-828d-3ee15739405d,1,162,apartment,66,2,2,8.26101E+18,8.64609E+18,1,2950000,2900000,-99.139951,19.358549,45,10,2023-04-23 01:25:11,2023-10-02 16:15:51,0,1,0,0,0,0,0,1,1,0,1
6b1dfaab-f32f-4d73-9a0e-dadc914cbc0c,1,72,apartment,98,2,3,1.65707E+18,3.77027E+17,1,4750000,4750000,-99.1571449,19.4218023,74,2,2023-05-13 05:35:53,2023-07-25 04:19:20,0,1,0,0,0,0,0,1,0,0,0
7fdfe12a-91a2-4432-82ff-13f65f4f2c46,0,123,apartment,67.7,1,2,-1.05558E+18,5.04539E+17,1,2870000,2790000,-99.1442316,19.3754117,65,1,2023-06-15 14:35:34,2023-10-16 16:05:40,0,0,0,0,0,0,0,0,0,0,0
32a6a86b-7cf6-4d89-a3d6-1f58bf565d88,1,57,apartment,144,2,2,8.26101E+18,7.93123E+17,2,7580000,7580000,-99.2677578,19.3669833,30,2,2023-05-21 00:02:31,2023-07-17 18:01:26,0,1,0,1,0,1,0,1,0,0,0
66f818ca-a55d-4100-9c09-eae12fd6b54d,0,140,house,303.38,4.5,4,-1.05558E+18,7.94851E+18,6,11900000,11900000,-99.2358441,19.3181475,71,1,2023-05-29 14:41:45,2023-10-16 17:09:16,0,0,0,0,0,0,0,0,1,0,0
fea0f0fc-df2a-4f5c-b9f2-5abe7b29f7d3,0,16,apartment,127,2,3,1.65707E+18,2.64359E+18,2,6250000,6250000,-99.1730521,19.376983,58,2,2023-09-30 02:15:30,2023-10-09 16:08:28,0,0,1,1,0,0,0,0,0,0,0
a81cca75-1983-44d3-bba9-449bd20e9aee,1,43,apartment,85,2,3,-1.05558E+18,3.77027E+17,2,3250000,3250000,-99.1412532,19.3651888,34,1,2023-05-21 21:07:55,2023-07-04 04:07:13,1,1,1,0,0,0,0,1,1,0,1
3156a4b6-d08b-4705-ab9e-b7896e494b8e,0,39,apartment,95,2,2,8.26101E+18,1.3347E+18,1,14000000,14000000,-99.2134442,19.4249374,47,1,2023-09-06 18:06:53,2023-10-09 16:28:09,0,0,1,0,0,0,0,0,0,0,0
a6ec4439-754a-49a6-95da-29341bbc9a20,1,160,house,327,3,3,8.26101E+18,3.77027E+17,2,10500000,10500000,-99.1886803,19.3589578,41,1,2023-03-14 05:20:42,2023-08-22 00:15:06,1,0,0,0,0,0,1,1,0,0,0
332edd13-7c2b-4ac6-bf87-99a1465c3728,0,74,apartment,62,1,2,-1.05558E+18,-3.8765E+18,1,2050000,1800000,-99.1071808,19.2998796,44,1,2023-08-03 11:19:45,2023-10-16 16:11:39,0,0,1,0,0,0,0,1,0,0,1
16b7494c-299b-4315-8fce-b532327ed266,0,139,apartment,121,2,3,-1.05558E+18,-5.78956E+16,2,4700000,4700000,-99.17538643,19.45412942,46,1,2023-05-30 11:23:05,2023-10-16 16:22:03,0,1,0,1,0,0,0,1,0,0,1
db0a8c6c-dc4a-4f16-be87-b91f6593ec7b,1,52,apartment,100,2,1,-1.05558E+18,-1.24095E+18,1,3400000,3400000,-99.1617888,19.4373262,70,1,2023-05-12 13:41:56,2023-07-04 04:17:40,0,1,0,0,0,0,0,0,0,0,1
efe76908-c3bb-4ee1-b93c-fddd9f3de739,1,53,house,192,3,3,8.26101E+18,5.45247E+18,2,7500000,7500000,-99.2369251,19.3463953,55,1,2023-06-29 18:20:51,2023-08-22 00:15:11,0,0,0,0,0,0,0,0,1,0,1
fdba67a2-5bfa-4876-bc8b-8c64a4faacf6,0,45,apartment,290,4,3,1.65707E+18,4.87727E+18,3,14754927,15786562.34,-99.2539179,19.3841661,43,2,2023-09-01 06:05:04,2023-10-09 16:18:38,0,1,0,1,0,1,0,1,1,0,1
ee03591e-e8fb-4950-9b16-cbef1c892dbd,1,17,apartment,75,1,2,6.47434E+18,3.77027E+17,1,2600000,2600000,-99.174253,19.445921,58,1,2023-04-21 06:14:47,2023-05-09 04:37:36,0,0,0,0,0,0,0,0,0,0,0
eb8c051c-af75-466c-8aa5-36eac7b80375,1,90,apartment,85,2,2,6.47434E+18,8.81531E+18,1,3095000,3095000,-99.091267,19.39356,44,1,2023-03-05 10:18:44,2023-06-04 04:10:30,0,0,0,0,0,0,0,1,1,0,0
aa88bd33-bd56-4157-8fcf-4fed6d405b5a,1,27,apartment,54,1,2,1.65707E+18,3.77027E+17,,1590000,1590000,-99.1317093,19.4222027,99,1,2023-05-30 23:54:49,2023-06-27 04:18:32,0,0,0,0,0,0,0,0,0,0,0
e1517385-3ddb-4ea7-9a28-52211d6e819c,1,46,apartment,140,2,3,8.26101E+18,-3.60725E+17,2,7400000,6900000,-99.18635,19.43419,57,2,2023-06-15 19:08:41,2023-07-31 20:22:28,1,1,0,0,0,0,0,1,0,0,0
1d39f909-2967-4e9c-be18-4a1e7fb42473,0,156,apartment,70,2,2,8.26101E+18,7.66011E+18,1,3312212,3312212,-99.1413622,19.4037523,20,3,2023-05-13 01:33:05,2023-10-09 16:10:53,1,1,1,0,0,0,0,1,1,0,0
936f42ef-b2a1-47a9-a511-16e0132998ae,1,32,apartment,81,2,2,8.26101E+18,5.06239E+18,1,2400000,2400000,-99.1562887,19.5020665,93,2,2023-06-22 01:05:29,2023-07-24 20:06:36,0,1,0,0,0,0,0,0,0,0,0
7ddc1ab1-f1b2-4f9d-a0b7-fd1f75c39375,1,16,apartment,65,1,1,8.26101E+18,7.93123E+17,2,3600000,3600000,-99.28706,19.36217,50,4,2023-06-03 15:51:40,2023-06-19 19:12:49,1,0,0,1,0,1,0,0,0,0,0
c08a8dec-5664-4379-b309-d5c432a8a099,1,152,apartment,60,2,2,8.26101E+18,-2.44545E+18,1,3195002,3195002,-99.1866696,19.3446522,55,2,2023-05-03 01:22:34,2023-10-02 16:15:22,0,1,0,0,0,0,0,0,0,0,0
e723b1e8-9957-4180-9bdb-77a2f79fa7cf,0,19,house,150,3,3,1.65707E+18,-3.13314E+18,2,9950000,9950000,-99.2080026,19.3434334,31,1,2023-09-27 06:52:20,2023-10-15 16:12:16,0,0,1,0,0,0,1,0,1,0,1
ec6d0615-4e69-4225-9b53-c08b61007674,0,37,apartment,55,1,2,1.65707E+18,-6.92021E+18,1,2800000,2800000,-99.1391535,19.5525138,49,1,2023-09-09 01:55:07,2023-10-09 16:17:27,0,0,0,1,0,0,0,0,1,1,0
a97d05a0-2048-4496-836a-2f10a4a40047,1,62,apartment,60,1,2,6.47434E+18,-1.24289E+18,1,2800000,2800000,-99.17305,19.4009,61,6,2023-03-28 06:09:13,2023-05-30 04:33:53,1,1,0,0,0,0,0,0,0,0,0
9d98e6a8-aae5-49ba-b120-457e570dc82e,1,62,apartment,63.68,1.5,1,-1.05558E+18,3.04532E+18,1,4843530,4843530,-99.1924411,19.3606836,1,1,2023-05-02 13:37:43,2023-07-04 04:01:20,0,1,1,1,0,1,0,1,1,0,0
4a4beda7-a6a6-4ab0-9447-ffbd64346345,0,105,house,236,2.5,3,-1.05558E+18,8.65359E+18,3,8750000,7500000,-99.2128111,19.3569652,32,1,2023-07-03 11:48:28,2023-10-16 17:06:06,0,0,1,0,0,0,0,1,0,0,0
cc47075d-677c-45a5-bb8b-425082156fa9,1,34,house,200,3.5,6,6.47434E+18,9.1587E+18,1.8,8100000,4500000,-99.12465,19.474579,84,1,2023-04-30 04:10:39,2023-06-04 04:10:11,1,0,0,0,0,0,0,0,0,0,1
56add6a5-d9b0-4f92-84b7-16bb1033df92,0,12,apartment,124,2,3,1.65707E+18,3.14062E+18,2,11400000,11400000,-99.2012,19.445,54,8,2023-10-04 01:12:55,2023-10-10 16:05:40,0,0,1,1,0,1,0,0,1,0,1
fe72bff9-63be-4224-a044-9fd5435a8671,0,143,apartment,90,2,3,8.26101E+18,-8.11835E+18,2,6900000,6900000,-99.1696473,19.4072709,65,1,2023-05-26 01:56:24,2023-10-09 16:20:05,1,1,0,1,0,1,0,1,1,0,0
d20236e5-b927-47f4-8edf-95a0076bb5f1,1,75,house,556,3,4,8.26101E+18,-4.79769E+18,3,14950000,14950000,-99.2308787,19.333944,0,1,2023-06-07 01:11:19,2023-08-22 00:16:19,0,0,1,0,0,0,1,1,1,0,1
35ea3191-2bf8-49df-9458-c1de40d8caec,1,35,house,140,2,3,8.26101E+18,7.94851E+18,2,4850000,4850000,-99.13944,19.290462,69,4,2023-05-15 04:00:27,2023-06-19 22:57:37,0,0,0,0,0,0,0,1,1,0,0
b3d8d73a-a88d-459d-aec1-4ad275318ac1,1,87,house,381,3,3,6.47434E+18,3.77027E+17,3,22000000,22000000,-99.1985332,19.3453117,46,2,2023-07-07 18:02:07,2023-10-03 00:35:30,0,0,1,0,0,0,0,0,1,0,0
b5e67f7c-aee9-4c1d-8c11-0eb5176e08c0,1,69,house,378,3,4,8.26101E+18,3.77027E+17,2,9000000,9000000,-99.2115959,19.2909619,68,1,2023-07-04 01:18:44,2023-09-11 19:54:54,0,0,1,0,0,0,1,1,0,0,1
31a50f53-3644-4a1d-8377-c6e5703dffd0,1,110,house,196,2,5,8.26101E+18,3.77027E+17,1,2400000,2400000,-99.130394,19.446823,39,2,2023-05-31 04:32:43,2023-09-18 17:35:29,0,0,0,1,0,0,0,0,0,0,1
9238bc06-371c-46f6-8540-201b6dabbda8,1,83,apartment,72,2,3,8.26101E+18,3.77027E+17,1,8200000,8200000,-99.1904921,19.4337679,57,1,2023-05-24 01:07:56,2023-08-15 06:46:29,0,1,0,0,0,0,0,0,1,0,1
4378a5d0-77f7-44ef-af9b-d25c521ba9f5,1,115,apartment,64,1,2,8.26101E+18,7.66011E+18,1,2850020,2850020,-99.29784065,19.36644855,35,2,2023-05-26 01:06:14,2023-09-18 16:22:56,0,0,1,1,0,1,0,1,0,0,0
